iter	RMSE
0	79530.39928
1	76416.53166
2	73576.27856
3	71089.56294
4	68723.98462
5	66440.66007
6	64419.21015
7	62653.5021
8	60980.97098
9	59356.35275
10	57898.70951
11	56656.88993
12	55414.8922
13	54122.81808
14	53119.49363
15	52031.58682
16	51023.982
17	50202.81316
18	49452.15485
19	48600.75149
20	47902.07262
21	47124.50677
22	46302.72568
23	45624.29994
24	44921.59593
25	44393.30782
26	43815.30837
27	43378.40555
28	42824.45664
29	42235.93424
30	41727.8959
31	41295.05213
32	40824.48192
33	40453.01934
34	40098.51897
35	39784.74119
36	39347.60289
37	39022.84354
38	38667.58509
39	38321.58448
40	37993.28888
41	37702.97979
42	37387.64672
43	37168.54336
44	36883.71125
45	36477.24503
46	36278.15271
47	35941.0706
48	35688.46278
49	35466.33389
50	35080.18526
51	34866.28734
52	34677.04817
53	34354.26102
54	34147.85387
55	33877.22638
56	33642.75631
57	33441.49138
58	33253.99614
59	33103.00604
60	32907.05779
61	32704.24148
62	32474.21173
63	32374.6507
64	32240.27867
65	31979.34963
66	31811.50537
67	31658.76148
68	31431.57194
69	31364.97308
70	31223.50345
71	31022.89873
72	30895.38047
73	30681.08011
74	30496.91613
75	30295.19457
76	30064.13764
77	29943.44221
78	29777.93722
79	29706.50513
80	29477.70708
81	29373.94636
82	29229.94052
83	29094.4274
84	28979.86654
85	28849.54614
86	28717.48443
87	28587.96752
88	28465.78386
89	28355.95435
90	28243.35291
91	28117.03699
92	27997.78555
93	27888.11551
94	27803.76687
95	27672.0807
96	27578.33056
97	27460.62487
98	27348.05768
99	27286.4956
100	27154.17839
101	27060.16451
102	26960.97682
103	26901.78355
104	26849.35916
105	26765.76358
106	26680.22821
107	26507.78788
108	26406.76617
109	26336.45547
110	26260.90027
111	26149.92436
112	25993.02856
113	25909.57196
114	25868.20818
115	25765.37814
116	25651.43788
117	25602.80564
118	25532.88648
119	25454.16031
120	25381.9325
121	25343.27548
122	25230.81021
123	25163.98356
124	25073.86488
125	25007.44234
126	24959.55328
127	24905.77394
128	24866.10473
129	24810.64533
130	24772.68094
131	24743.81213
132	24677.27411
133	24601.52566
134	24512.12266
135	24444.92552
136	24390.8774
137	24304.23974
138	24207.30236
139	24174.37448
140	24133.65497
141	24061.35597
142	24004.9778
143	23926.44993
144	23889.72776
145	23864.63439
146	23815.05702
147	23754.03775
148	23643.11238
149	23590.55581
150	23528.8772
151	23483.54982
152	23424.50842
