iter	Passed	Remaining
0	5	5089
1	10	5394
2	16	5489
3	20	5097
4	25	5017
5	30	5124
6	36	5184
7	41	5128
8	45	4997
9	54	5403
10	59	5321
11	62	5175
12	66	5014
13	71	5035
14	76	5037
15	80	4968
16	85	4925
17	91	4980
18	96	5006
19	103	5083
20	107	5032
21	113	5034
22	118	5045
23	122	4975
24	128	5013
25	135	5069
26	139	5029
27	145	5035
28	151	5067
29	155	5025
30	160	5013
31	167	5054
32	170	5000
33	177	5033
34	183	5061
35	187	5016
36	192	5007
37	198	5012
38	202	5000
39	208	4996
40	212	4959
41	217	4971
42	223	4970
43	227	4938
44	232	4941
45	238	4955
46	242	4912
47	248	4934
48	255	4956
49	258	4920
50	264	4926
51	271	4951
52	275	4915
53	281	4929
54	287	4944
55	292	4933
56	296	4910
57	303	4927
58	306	4894
59	313	4907
60	319	4924
61	324	4910
62	329	4895
63	336	4918
64	342	4925
65	346	4904
66	352	4905
67	358	4911
68	361	4881
69	367	4887
70	371	4859
71	376	4850
72	380	4835
73	384	4814
74	390	4814
75	393	4784
76	398	4777
77	401	4747
78	408	4761
79	412	4741
80	418	4746
81	425	4763
82	432	4782
83	438	4784
84	442	4762
85	448	4769
86	453	4761
87	458	4751
88	463	4747
89	467	4725
90	473	4728
91	479	4736
92	483	4714
93	489	4713
94	495	4717
95	498	4691
96	504	4697
97	508	4678
98	514	4680
99	520	4686
100	525	4680
101	529	4664
102	536	4672
103	540	4660
104	546	4657
105	552	4659
106	557	4655
107	562	4644
108	568	4646
109	573	4638
110	577	4628
111	583	4624
112	587	4613
113	593	4612
114	600	4619
115	605	4613
116	609	4600
117	615	4601
118	619	4587
119	624	4583
120	630	4583
121	634	4564
122	640	4564
123	644	4551
124	648	4542
125	655	4544
126	658	4529
127	664	4528
128	669	4523
129	673	4510
130	679	4508
131	683	4496
132	689	4494
133	696	4498
134	703	4507
135	707	4493
136	714	4498
137	720	4498
138	725	4494
139	729	4480
140	736	4484
141	739	4471
142	745	4467
143	751	4467
144	755	4454
145	761	4453
146	766	4447
147	770	4438
148	776	4436
149	782	4434
150	786	4423
151	792	4421
152	798	4421
153	802	4407
154	810	4418
155	816	4418
156	822	4414
157	824	4396
158	831	4395
159	834	4378
160	839	4376
161	844	4370
162	848	4355
163	852	4346
164	856	4334
165	861	4329
166	865	4316
167	870	4312
168	874	4298
169	879	4294
170	883	4285
171	887	4274
172	893	4269
173	895	4251
174	899	4240
175	903	4228
176	907	4219
177	911	4207
178	914	4194
179	918	4184
180	922	4172
181	927	4166
182	931	4157
183	935	4147
184	938	4135
185	942	4124
186	946	4113
187	950	4104
188	953	4091
189	957	4081
190	960	4069
191	964	4059
192	968	4047
193	974	4048
194	978	4038
195	984	4039
196	991	4040
197	996	4034
198	1001	4030
199	1007	4029
200	1014	4034
201	1019	4025
202	1025	4024
203	1031	4023
204	1037	4021
205	1041	4014
206	1046	4008
207	1052	4006
208	1056	3999
209	1063	4002
210	1070	4004
211	1077	4005
212	1082	3998
213	1087	3995
214	1094	3995
215	1098	3985
216	1103	3983
217	1109	3980
218	1112	3968
219	1118	3965
220	1122	3956
221	1128	3954
222	1134	3953
223	1138	3945
224	1143	3939
225	1150	3939
226	1153	3929
227	1159	3926
228	1165	3925
229	1169	3915
230	1175	3913
231	1179	3905
232	1185	3901
